movie_name,movie_name_original,movie_genres,movie_release,movie_cover_link_HQ,movie_cover_link_LQ,movie_presentationmovie_stars
Star Wars: Geschichten der Jedi,Tales of the Jed,"Animation, Short, Action",2022– ,https://m.media-amazon.com/images/M/MV5BYTQ1ZTY5NTYtNDAyZS00ZmNmLTg2MDgtNjQ4Mzk2YTIxMmJmXkEyXkFqcGdeQXVyMTU2Mjg2NjE2._V1_.jpg,https://m.media-amazon.com/images/M/MV5BYTQ1ZTY5NTYtNDAyZS00ZmNmLTg2MDgtNjQ4Mzk2YTIxMmJmXkEyXkFqcGdeQXVyMTU2Mjg2NjE2._V1_FMjpg_UY390_.jpg,It showcases animated shorts that feature Jedi from the prequel era.,"Corey Burton, Ashley Eckstein, Dee Bradley Baker, Ian McDiarmid"
She-Hulk: Die Anwältin,She-Hulk: Attorney at Law,"Action, Adventure, Comedy",2022,https://m.media-amazon.com/images/M/MV5BNDk4MTQ4MmMtNDY2Yi00MTI2LTg4ODEtMjQ1ZWQ3NGMzNTc5XkEyXkFqcGdeQXVyMTE4NjM1MTg5._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNDk4MTQ4MmMtNDY2Yi00MTI2LTg4ODEtMjQ1ZWQ3NGMzNTc5XkEyXkFqcGdeQXVyMTE4NjM1MTg5._V1_FMjpg_UY452_.jpg,"Jennifer Walters navigates the complicated life of a single, 30-something attorney who also happens to be a green 6-foot-7-inch superpowered Hulk.","Tatiana Maslany, Ginger Gonzaga, Malia Arrayah, Jameela Jamil"
Jack Ryan,Jack Ryan,"Action, Drama, Thriller",2018– ,https://m.media-amazon.com/images/M/MV5BNDNmNGI2NzAtZjZhYi00YTc1LWJjOTctMTRlMDI0MzEzNjA2XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNDNmNGI2NzAtZjZhYi00YTc1LWJjOTctMTRlMDI0MzEzNjA2XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_FMjpg_UY473_.jpg,"Up-and-coming CIA analyst, Jack Ryan, is thrust into a dangerous field assignment after he uncovers a pattern in terrorist communication that launches him into the center of a dangerous gambit.","John Krasinski, Wendell Pierce, Michael Kelly, John Hoogenakker"
The Last Kingdom,The Last Kingdom,"Action, Drama, History",2015–2022,https://m.media-amazon.com/images/M/MV5BNTEyMDM3ZDYtZDU2Yi00ODRhLWI1NjctZjI1MTU5ZmEzYTA3XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNTEyMDM3ZDYtZDU2Yi00ODRhLWI1NjctZjI1MTU5ZmEzYTA3XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UY394_.jpg,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright.","Alexander Dreymon, Eliza Butterworth, Arnas Fedaravicius, Mark Rowley"
Vikings,Vikings,"Action, Adventure, Drama",2013–2020,https://m.media-amazon.com/images/M/MV5BODk4ZjU0NDUtYjdlOS00OTljLTgwZTUtYjkyZjk1NzExZGIzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BODk4ZjU0NDUtYjdlOS00OTljLTgwZTUtYjkyZjk1NzExZGIzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_FMjpg_UY480_.jpg,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.","Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst"
Cobra Kai,Cobra Kai,"Action, Comedy, Drama",2018– ,https://m.media-amazon.com/images/M/MV5BYWU4ZmI0NTItZjcyNy00MzQ5LThiNDQtZDZkNjg1NWUwN2RhXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,https://m.media-amazon.com/images/M/MV5BYWU4ZmI0NTItZjcyNy00MzQ5LThiNDQtZDZkNjg1NWUwN2RhXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_FMjpg_UY474_.jpg,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","Ralph Macchio, William Zabka, Courtney Henggeler, Xolo Maridueña"
FBI,FBI,"Action, Crime, Drama",2018– ,https://m.media-amazon.com/images/M/MV5BMTg5Mjg5NDk4OV5BMl5BanBnXkFtZTgwMjY1ODIyNjM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTg5Mjg5NDk4OV5BMl5BanBnXkFtZTgwMjY1ODIyNjM@._V1_FMjpg_UY466_.jpg,Procedural drama about the inner workings of the New York office of the Federal Bureau of Investigation.,"Missy Peregrym, Zeeko Zaki, Jeremy Sisto, Alana De La Garza"
SEAL Team,SEAL Team,"Action, Drama, War",2017– ,https://m.media-amazon.com/images/M/MV5BMWQxMWI3ZmYtYjQzMC00M2MyLTliN2YtMzgyZTQ2OThhZWQ4XkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMWQxMWI3ZmYtYjQzMC00M2MyLTliN2YtMzgyZTQ2OThhZWQ4XkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_FMjpg_UY480_.jpg,"The lives of the elite Navy SEALs as they train, plan, and execute the most dangerous, high-stakes missions the United States of America can ask.","David Boreanaz, Neil Brown Jr., A.J. Buckley, Toni Trucks"
The Mandalorian,The Mandalorian,"Action, Adventure, Fantasy",2019– ,https://m.media-amazon.com/images/M/MV5BZDhlMzY0ZGItZTcyNS00ZTAxLWIyMmYtZGQ2ODg5OWZiYmJkXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BZDhlMzY0ZGItZTcyNS00ZTAxLWIyMmYtZGQ2ODg5OWZiYmJkXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_FMjpg_UY473_.jpg,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Pedro Pascal, Carl Weathers, Giancarlo Esposito, Barry Lowin"
Der Prinz der Drachen,The Dragon Princ,"Animation, Action, Adventure",2018– ,https://m.media-amazon.com/images/M/MV5BMjA5MjEwODU1MV5BMl5BanBnXkFtZTgwNzk0MzA5NTM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMjA5MjEwODU1MV5BMl5BanBnXkFtZTgwNzk0MzA5NTM@._V1_FMjpg_UY426_.jpg,"Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands.","Paula Burrows, Jack De Sena, Sasha Rojen, Jason Simpson"
Attack on Titan,Shingeki no Kyoj,"Animation, Action, Adventure",2013–2023,https://m.media-amazon.com/images/M/MV5BNzc5MTczNDQtNDFjNi00ZDU5LWFkNzItOTE1NzQzMzdhNzMxXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNzc5MTczNDQtNDFjNi00ZDU5LWFkNzItOTE1NzQzMzdhNzMxXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_FMjpg_UY480_.jpg,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Josh Grelle, Bryce Papenbrook, Yûki Kaji, Yui Ishikawa"
9-1-1: Notruf L.A.,9-1-1,"Action, Drama, Thriller",2018– ,https://m.media-amazon.com/images/M/MV5BNTYxYjIwZmUtMjZlNC00ZmRhLTk1ZjYtNThkN2MxNGNjY2Q3XkEyXkFqcGdeQXVyMTEwMTQ4MzU5._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNTYxYjIwZmUtMjZlNC00ZmRhLTk1ZjYtNThkN2MxNGNjY2Q3XkEyXkFqcGdeQXVyMTEwMTQ4MzU5._V1_FMjpg_UY474_.jpg,"Explores the high-pressure experiences of the first responders who are thrust into the most frightening, shocking, and heart-stopping situations.","Angela Bassett, Peter Krause, Oliver Stark, Aisha Hinds"
See: Reich der Blinden,S,"Action, Drama, Sci-Fi",2019–2022,https://m.media-amazon.com/images/M/MV5BMTkyOGI1YTYtZjNiYS00NTFjLTlkNzAtMGVlOTFlOWU1M2EyXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTkyOGI1YTYtZjNiYS00NTFjLTlkNzAtMGVlOTFlOWU1M2EyXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_FMjpg_UY474_.jpg,"Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins are born with sight.","Jason Momoa, Sylvia Hoeks, Hera Hilmar, Christian Camargo"
Chicago Fire,Chicago Fire,"Action, Drama",2012– ,https://m.media-amazon.com/images/M/MV5BOWZlZDZhYTQtMjJiMy00MTliLWIwYTMtMWZlOGQ1ZGE5ZGUxXkEyXkFqcGdeQXVyMTUwMzM5ODkz._V1_.jpg,https://m.media-amazon.com/images/M/MV5BOWZlZDZhYTQtMjJiMy00MTliLWIwYTMtMWZlOGQ1ZGE5ZGUxXkEyXkFqcGdeQXVyMTUwMzM5ODkz._V1_FMjpg_UY474_.jpg,"The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level.","Taylor Kinney, Christian Stolte, Eamonn Walker, Joe Minoso"
Barbaren,Barbarians,"Action, Adventure, Drama",2020– ,https://m.media-amazon.com/images/M/MV5BNmYyNThlN2EtMTYzNi00NmZjLTlhMjMtMGZkMGUyZjY2YzExXkEyXkFqcGdeQXVyMTE5MTg5NDIw._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNmYyNThlN2EtMTYzNi00NmZjLTlhMjMtMGZkMGUyZjY2YzExXkEyXkFqcGdeQXVyMTE5MTg5NDIw._V1_FMjpg_UY479_.jpg,"Torn between the mighty empire that raised him and his own tribal people, a Roman officer's conflicted allegiances lead to an epic historical clash.","Laurence Rupp, Jeanne Goursaud, David Schütter, Florian Schmidtke"
One Piece,Piece: Wan pîsu,"Animation, Action, Adventure",1999– ,https://m.media-amazon.com/images/M/MV5BODcwNWE3OTMtMDc3MS00NDFjLWE1OTAtNDU3NjgxODMxY2UyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BODcwNWE3OTMtMDc3MS00NDFjLWE1OTAtNDU3NjgxODMxY2UyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_FMjpg_UY480_.jpg,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Mayumi Tanaka, Laurent Vernin, Tony Beck, Akemi Okamura"
Reacher,Reacher,"Action, Crime, Drama",2022– ,https://m.media-amazon.com/images/M/MV5BNzQ4MGYzYzAtNjJlOC00NTdkLTlmNTAtMmZjMzZmZTg2YTEzXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNzQ4MGYzYzAtNjJlOC00NTdkLTlmNTAtMmZjMzZmZTg2YTEzXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_FMjpg_UY472_.jpg,Jack Reacher was arrested for murder and now the police need his help. Based on the books by Lee Child.,"Alan Ritchson, Malcolm Goodwin, Willa Fitzgerald, Hugh Thompson"
Bleach: Thousand Year Blood War,Bleach: Sennen Kessen-h,"Animation, Action, Adventure",2022– ,https://m.media-amazon.com/images/M/MV5BODFmYTUwYzMtM2M2My00NGExLWIzMDctYmRjNTNhZDc4MGI2XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_.jpg,https://m.media-amazon.com/images/M/MV5BODFmYTUwYzMtM2M2My00NGExLWIzMDctYmRjNTNhZDc4MGI2XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_FMjpg_UY452_.jpg,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.","Masakazu Morita, Yuki Matsuoka, Hiroki Yasumoto, Noriaki Sugiyama"
Chicago P.D.,Chicago P.D.,"Action, Crime, Drama",2014– ,https://m.media-amazon.com/images/M/MV5BYTNkODNlMzctYzUyZS00NDc3LWE4ZWItNzUzN2ZiM2Y1ZjlhXkEyXkFqcGdeQXVyMTUwMzM5ODkz._V1_.jpg,https://m.media-amazon.com/images/M/MV5BYTNkODNlMzctYzUyZS00NDc3LWE4ZWItNzUzN2ZiM2Y1ZjlhXkEyXkFqcGdeQXVyMTUwMzM5ODkz._V1_FMjpg_UY474_.jpg,"Follows District 21 of the Chicago Police Department, made up of two different groups: the uniformed cops and the Intelligence Unit.","Jason Beghe, Patrick John Flueger, Marina Squerciati, LaRoyce Hawkins"
The Winchesters,The Winchesters,"Action, Adventure, Drama",2022– ,https://m.media-amazon.com/images/M/MV5BZWM2NjU2ZjctNDI1Mi00YTM4LTg3NzQtNWFjNTk1NzlkMTZmXkEyXkFqcGdeQXVyMTU2Mjg2NjE2._V1_.jpg,https://m.media-amazon.com/images/M/MV5BZWM2NjU2ZjctNDI1Mi00YTM4LTg3NzQtNWFjNTk1NzlkMTZmXkEyXkFqcGdeQXVyMTU2Mjg2NjE2._V1_FMjpg_UY448_.jpg,An epic untold love story of John and Mary of how they not only saved their love but also the entire world.,"Meg Donnelly, Drake Rodger, Nida Khurshid, Jojo Fleites"
Buffy: Im Bann der Dämonen,Buffy the Vampire Slay,"Action, Drama, Fantasy",1997–2003,https://m.media-amazon.com/images/M/MV5BY2MwOGIyZGYtNzgxZC00N2Q5LTllYjItM2U4MTkwMDBjYzUyXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BY2MwOGIyZGYtNzgxZC00N2Q5LTllYjItM2U4MTkwMDBjYzUyXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_FMjpg_UY470_.jpg,"A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends.","Sarah Michelle Gellar, Nicholas Brendon, Alyson Hannigan, Anthony Head"
Miraculous - Geschichten von Ladybug und Cat Noir,Miraculous: Tales of Ladybug & Cat No,"Animation, Action, Adventure",2015– ,https://m.media-amazon.com/images/M/MV5BZWExMThlOTUtYTA4ZC00NmEzLWE0NDktNmNjZGE3MDdkOTRhXkEyXkFqcGdeQXVyOTE4NzcwNzI@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BZWExMThlOTUtYTA4ZC00NmEzLWE0NDktNmNjZGE3MDdkOTRhXkEyXkFqcGdeQXVyOTE4NzcwNzI@._V1_FMjpg_UY479_.jpg,"Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.","Cristina Valenzuela, Bryce Papenbrook, Keith Silverstein, Max Mittelman"
Pennyworth,Pennyworth,"Action, Crime, Drama",2019– ,https://m.media-amazon.com/images/M/MV5BODk5ZmRlYjMtZDMzNS00M2Y4LTkzNWQtMThiODIyOGJkZGY5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BODk5ZmRlYjMtZDMzNS00M2Y4LTkzNWQtMThiODIyOGJkZGY5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_FMjpg_UY474_.jpg,"The origin story of Alfred Pennyworth, a former special-forces soldier living in London and how he came to work for Bruce Wayne's father.","Jack Bannon, Ben Aldridge, Ryan Fletcher, Dorothy Atkinson"
The Flash,The Flash,"Action, Adventure, Drama",2014–2023,https://m.media-amazon.com/images/M/MV5BMDIzNzYwNTctZWY4Mi00YjQ2LWI5YWYtMzdmNDgwMGI4Yzk1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMDIzNzYwNTctZWY4Mi00YjQ2LWI5YWYtMzdmNDgwMGI4Yzk1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UY400_.jpg,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City.","Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes"
The Terminal List - Die Abschussliste,The Terminal Lis,"Action, Drama, Thriller",2022– ,https://m.media-amazon.com/images/M/MV5BMDIzOThhNDgtNDMzMi00NDdmLWFmOWYtMDc3MzRhNDMxZGU3XkEyXkFqcGdeQXVyMTE4NjM1MTg5._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMDIzOThhNDgtNDMzMi00NDdmLWFmOWYtMDc3MzRhNDMxZGU3XkEyXkFqcGdeQXVyMTE4NjM1MTg5._V1_FMjpg_UY474_.jpg,A former Navy SEAL officer investigates why his entire platoon was ambushed during a high-stakes covert mission.,"Chris Pratt, Constance Wu, Taylor Kitsch, Riley Keough"
